Unnamed: 0.1,Unnamed: 0,index(),Регион,Населенный пункт,Группа компаний,ID проекта,Проект,Корпус,Класс недвижимости,Статус,Месяц,"Продано квартир, шт","Продано квартир, м2","Продано квартир, руб","Продано нежилых, шт","Продано нежилых, м2","Продано нежилых, руб","Продано машиномест, шт","Продано машиномест, м2","Продано машиномест, руб",Таргет,ЖК,Количество квартир,Общая площадь квартир,Дата получения РС,Дата публикации ИНС,Подъездов в доме,Количество квартир на этаже,Количество этажей,Пассажирских лифтов в доме,Грузовых лифтов в доме,Инфраструктура: Продукты,Инфраструктура: Медицина,Инфраструктура: Спорт,Инфраструктура: Новостройки,Инфраструктура: Школы,Инфраструктура: Детские сады,Всероссийский застройщик,Количество студий,Количество однокомнатных квартир,Количество двухкомнатных квартир,Количество трехкомнатных квартир,Количество четырехкомнатных квартир,Количество остальных квартир,Высота потолков,Площадь коммерческих помещений,Всего парковочных мест,Парковочных мест внутри дома,Парковочных мест у дома,Гостевых мест,Общая площадь земельного участка,Площадь детских площадок,Площадь особых площадок,Площадь спортивных площадок,Высота над уровнем моря,Самая низкая точка 250м,Самая высокая точка 250м,Широта,Долгота,Район,Количество домов 250м,Средняя этажность 250м,Расстояние до ближайшего строения,Инфраструктура: Торговые центры,Инфраструктура: Супермаркеты,Инфраструктура: Рядом ВУЗ,Есть железная дорога 250м,Есть ЛЭП 100м,Есть магистральные дороги 100м,Есть АЗС 100м,Есть скверы 500м,Есть лес 500м,Есть водоем 500м,Есть пляж 1000м,Есть кладбище 250м,Есть тюрьма 250м,Есть ПНД 250м,Есть наркодиспансер 250м,Есть промзона 250м,Есть гаражи 500м,Разнообразие общественного транспорта 1000м,Станции электропоезда 1000м,Уехать без пересадок: Луговая,Расстояние по навигатору до: Луговая,Уехать без пересадок: Центр,Расстояние по навигатору до: Центр,Уехать без пересадок: Первая речка,Расстояние по навигатору до: Первая речка,Уехать без пересадок: Вторая речка,Расстояние по навигатору до: Вторая речка,Уехать без пересадок: Третья рабочая,Расстояние по навигатору до: Третья рабочая,Уехать без пересадок: Окатовая,Расстояние по навигатору до: Окатовая,Уехать без пересадок: Баляева,Расстояние по навигатору до: Баляева,Уехать без пересадок: Кампус ДВФУ,Расстояние по навигатору до: Кампус ДВФУ,Расстояние по навигатору до: Артем,Расстояние по навигатору до: В-надеждинское,Основной материал фасада,Вспомогательный материал фасада,Тип дома,Тип фасада,Есть квартиры без отделки,Есть квартиры с черновой отделкой,Есть квартиры с чистовой отделкой,Есть квартиры под ключ,Закрытая территория,Видеонаблюдение во дворе,Есть площадки для собак,Есть велопарковка,Внутренний двор без машин,Вид из окна на море,Дата сбора информации,"Общая сумма полученных денег с проданных квартир, руб",Количество проданных машиномест,Количество проданных квартир,Общая площадь проданных квартир,Процент распроданности,Кумулятивная средняя стоимость кв.метра,Количество проданных нежилых помещений
0,253,254,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Апрель 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
1,254,255,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Май 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
2,255,256,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Июнь 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
3,256,257,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Июль 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
4,257,258,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Август 2021,1.0,43.6,4142000.0,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
5,258,259,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Сентябрь 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
6,259,260,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Октябрь 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
7,260,261,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Ноябрь 2021,1.0,67.6,7144200.0,0.0,0.0,0.0,0.0,0.0,0.0,105683.43195266274,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
8,261,262,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Декабрь 2021,1.0,54.1,5968200.0,0.0,0.0,0.0,0.0,0.0,0.0,110317.92975970425,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
9,262,263,Приморский край,Артем,СЗВОСХОД,11228,Восход,40376,Типовой,Строится,Январь 2022,1.0,67.6,7800300.0,0.0,0.0,0.0,0.0,0.0,0.0,115389.05325443788,Восход 40376,30,1983,19.08.2020,16.04.2021,2,4,5,0,0,48,1,20,3,4,3,Нет,0,8,6,6,8,2,2.85,0.0,21,0,0,21,8399,50.0,159.0,112.0,50,40,55,43.358319,132.168807,Артем,106,1.09,65,2,1,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,1,Нет,Нет,55,Да,49.0,Да,42.0,Да,37,Нет,50.0,Нет,56,Нет,49.0,Нет,60,2,19,Камень,Стекло,Монолит,Панель,Да,Да,Да,Да,Да,Неизвестно,Нет,Да,Да,0.0,22.12.2021,,,,,,,
